outcome,modelName,direction,estimate,ci_low,ci_high
aligned_belief_change,anthropic/claude-opus-4-6,bunk,16.383512544802862,13.432117745494871,19.334907344110853
aligned_belief_change,anthropic/claude-opus-4-6,debunk,20.25092250922509,16.374175908327587,24.127669110122596
aligned_belief_change,google/gemini-3-pro-preview,bunk,12.33333333333328,7.394173507243788,17.272493159422773
aligned_belief_change,google/gemini-3-pro-preview,debunk,22.39823008849559,16.845312169652708,27.951148007338475
aligned_belief_change,openai/gpt-5.2,bunk,-12.565517241379325,-15.567028908865613,-9.564005573893038
aligned_belief_change,openai/gpt-5.2,debunk,14.795918367346971,11.593122735321728,17.998713999372214
aligned_belief_change,x-ai/grok-4,bunk,15.868181818181803,12.319810088090767,19.416553548272837
aligned_belief_change,x-ai/grok-4,debunk,20.4365671641791,16.53172128476772,24.341413043590478
aligned_original_post_share_change,anthropic/claude-opus-4-6,bunk,1.7639784946236547,0.7424077959590862,2.7855491932882233
aligned_original_post_share_change,anthropic/claude-opus-4-6,debunk,2.528413284132844,1.3355656955923905,3.721260872673297
aligned_original_post_share_change,google/gemini-3-pro-preview,bunk,0.43142857142857005,-1.2055482874586287,2.0684054303157686
aligned_original_post_share_change,google/gemini-3-pro-preview,debunk,0.3477876106194686,-1.0989434089589147,1.794518630197852
aligned_original_post_share_change,openai/gpt-5.2,bunk,-0.8282758620689692,-1.8072734739752734,0.150721749837335
aligned_original_post_share_change,openai/gpt-5.2,debunk,1.3721088435374138,0.347153211726303,2.3970644753485244
aligned_original_post_share_change,x-ai/grok-4,bunk,1.1388636363636375,0.021175920585329022,2.256551352141946
aligned_original_post_share_change,x-ai/grok-4,debunk,1.7397388059701488,0.5278703109656193,2.951607300974678
aligned_new_minus_old_weighted,anthropic/claude-opus-4-6,bunk,5.1991039426523145,2.578532896326949,7.819674988977679
aligned_new_minus_old_weighted,anthropic/claude-opus-4-6,debunk,17.386900369003712,14.381453007309206,20.39234773069822
aligned_new_minus_old_weighted,google/gemini-3-pro-preview,bunk,5.9238095238094886,1.7561900823846122,10.091428965234364
aligned_new_minus_old_weighted,google/gemini-3-pro-preview,debunk,19.634070796460197,15.404800323880771,23.863341269039623
aligned_new_minus_old_weighted,openai/gpt-5.2,bunk,-11.140344827586226,-13.639042484816887,-8.641647170355565
aligned_new_minus_old_weighted,openai/gpt-5.2,debunk,13.825850340136089,11.157850897443899,16.49384978282828
aligned_new_minus_old_weighted,x-ai/grok-4,bunk,6.1752272727272555,3.1174078493325803,9.233046696121932
aligned_new_minus_old_weighted,x-ai/grok-4,debunk,17.103358208955232,14.112847318496986,20.093869099413478
aligned_stance_change,anthropic/claude-opus-4-6,bunk,4.910394265232938,1.2553223988748194,8.565466131591057
aligned_stance_change,anthropic/claude-opus-4-6,debunk,29.981549815498198,25.81956364359371,34.143535987402686
aligned_stance_change,google/gemini-3-pro-preview,bunk,7.190476190476144,1.3195854550806159,13.06136692587167
aligned_stance_change,google/gemini-3-pro-preview,debunk,33.49557522123898,27.05283509212168,39.93831535035628
aligned_stance_change,openai/gpt-5.2,bunk,-21.500000000000018,-25.37649983687757,-17.623500163122465
aligned_stance_change,openai/gpt-5.2,debunk,23.979591836734773,19.99879201049187,27.960391662977678
aligned_stance_change,x-ai/grok-4,bunk,6.181818181818162,2.069936479461467,10.293699884174856
aligned_stance_change,x-ai/grok-4,debunk,30.186567164179138,26.008878711798076,34.3642556165602
