minPts,n_clusters,retained_clusters,noise_fraction,largest_retained,retained_cv,study_segregation,noise_ok,rank
10,27,18,0.43765903307888043,457,1.0379957809256615,0.140289610332409,TRUE,1
9,26,17,0.33486005089058524,714,1.2738758291532526,0.11475837195108864,TRUE,2
12,21,16,0.34376590330788803,695,1.2344212338880234,0.11500251849256304,TRUE,3
11,22,15,0.3455470737913486,696,1.1845919686294095,0.1155380943694566,TRUE,4
13,21,15,0.34783715012722644,688,1.1809810139666543,0.11350651067486285,TRUE,5
8,29,15,0.3480916030534351,714,1.2158067537961363,0.11531076499535622,TRUE,6
15,16,14,0.34987277353689566,683,1.1181388658119185,0.1133667572262634,TRUE,7
16,16,14,0.35368956743002544,685,1.1275679439206245,0.11272530921797262,TRUE,8
17,14,14,0.3539440203562341,697,1.1339072896293831,0.11284474214851703,TRUE,9
14,20,14,0.35877862595419846,685,1.1331770804914942,0.11336881640290185,TRUE,10
18,14,14,0.360559796437659,693,1.1411562835499949,0.11316609262554969,TRUE,11
20,14,14,0.3659033078880407,696,1.1568438557066232,0.11481073302948244,TRUE,12
19,14,14,0.3661577608142494,701,1.1520316608739691,0.11369634014447194,TRUE,13
21,14,14,0.3745547073791349,687,1.159447165383237,0.11517282038821779,TRUE,14
22,14,14,0.38193384223918575,686,1.1706167242456116,0.11396208941598882,TRUE,15
23,12,12,0.38091603053435114,682,1.0426004782767975,0.11417928135350869,TRUE,16
24,11,11,0.3798982188295165,692,1.0025809394737755,0.10502378443127082,TRUE,17
25,11,11,0.3821882951653944,695,1.001729696858194,0.10657954018059486,TRUE,18
26,11,11,0.38295165394402036,721,1.0258917156831735,0.10805212031034117,TRUE,19
27,11,11,0.38727735368956745,720,1.026642547352288,0.107039726382711,TRUE,20
28,11,11,0.3984732824427481,695,1.017797036138161,0.10626275835215772,TRUE,21
29,10,10,0.410941475826972,688,0.9451530458068623,0.1045701570656205,TRUE,22
30,10,10,0.41374045801526715,684,0.9470278797478555,0.10660901481722608,TRUE,23
